PYTEST EXECUTION LOG
Started: Tue Feb 24 11:20:44 2026
PASS: tests/test_app.py::TestNopCommerce::test_11_sort_price[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_12_display_size[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_13_add_wishlist[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_14_view_wishlist[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_15_add_to_cart[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_16_navigate_cart[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_17_update_qty_csv[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_18_verify_total[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_19_remove_item[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_20_footer_sitemap[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_21_footer_shipping[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_22_footer_privacy[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_23_footer_about[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_24_footer_contact[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_25_logout_session[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_01_nav_reg[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_02_reg_user[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_03_search_1[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_04_search_2[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_05_search_3[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_06_verify_apple[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_07_nav_computers[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_08_nav_notebooks[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_09_switch_euro[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_10_switch_dollar[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_11_sort_price[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_12_display_size[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_13_add_wishlist[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_14_view_wishlist[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_15_add_to_cart[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_16_navigate_cart[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_17_update_qty_csv[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_18_verify_total[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_19_remove_item[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_20_footer_sitemap[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_21_footer_shipping[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_22_footer_privacy[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_23_footer_about[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_24_footer_contact[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
PASS: tests/test_app.py::TestNopCommerce::test_25_logout_session[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data_user2.csv]
